Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
2.457,-1.473,0.216,9.805
2.498,-0.524,-0.17,9.82
2.538,-0.302,-0.112,9.818
2.578,-0.69,0.371,9.813
2.619,0.861,0.445,9.794
2.659,0.185,0.545,9.804
2.699,-2.37,-0.051,9.806
2.739,0.243,0.048,9.796
2.78,0.302,0.003,9.808
2.82,-0.326,0.054,9.8
2.86,-0.97,0.009,9.797
2.9,1.429,0.041,9.808
2.941,-0.774,-0.352,9.804
2.981,-1.332,-0.249,9.813
3.021,-1.62,-0.147,9.814
3.061,-0.592,0.0,9.818
3.102,-2.361,0.122,9.822
3.142,-1.795,0.568,9.821
3.182,0.863,0.647,9.794
3.222,1.35,0.371,9.788
3.263,0.72,-0.049,9.801
3.303,-0.808,-0.018,9.799
3.343,0.206,-0.163,9.801
3.383,0.367,0.232,9.797
3.424,0.718,-0.643,9.792
3.464,1.355,-0.532,9.776
3.504,-1.252,-0.338,9.768
3.544,-0.181,-0.181,9.759
3.585,-0.91,0.272,9.77
3.625,-0.051,0.62,9.77
3.665,-0.149,0.51,9.775
3.706,-0.384,0.38,9.771
3.746,1.75,-0.104,9.782
3.786,2.78,-0.137,9.819
3.827,2.051,0.1,9.857
3.867,2.849,-0.158,9.856
3.908,0.747,-0.082,9.84
3.948,-2.196,0.833,9.854
3.989,-2.957,0.746,9.842
4.029,1.165,0.533,9.841
4.07,0.185,0.215,9.798
4.11,-0.05,-0.469,9.784
4.15,1.722,-0.702,9.832
4.19,-2.261,-0.343,9.839
4.231,-5.546,-0.004,9.826
4.271,-5.788,-0.798,9.819
4.311,-2.894,-0.581,9.782
4.351,-3.587,-0.26,9.729
4.392,-3.085,-0.099,9.743
4.432,-2.167,0.025,9.758
4.472,1.136,-0.21,9.719
4.512,0.039,-0.614,9.777
4.553,1.623,-0.038,9.799
4.593,-3.845,0.093,9.803
4.633,-5.159,0.249,9.778
4.674,-3.447,0.044,9.806
4.715,1.064,-0.304,9.838
4.755,-0.114,-0.125,9.837
4.796,0.458,-0.307,9.823
4.836,0.112,0.046,9.826
4.877,0.605,1.142,9.766
4.917,0.372,0.617,9.751
4.957,-1.942,0.21,9.774
4.998,-1.564,-0.161,9.82
5.038,-3.584,-0.505,9.781
5.079,-3.981,-0.496,9.775
5.119,-5.961,-0.491,9.813
5.159,-2.886,-0.687,9.864
5.199,-3.433,-0.684,9.879
5.239,-1.757,-0.821,9.836
5.28,-1.918,0.614,9.851
5.32,-3.448,-0.142,9.877
5.36,1.523,0.036,9.836
5.401,1.518,0.043,9.822
5.441,0.507,-0.358,9.83
5.482,-1.652,0.772,9.778
5.522,1.637,0.889,9.764
5.563,5.991,1.44,9.755
5.603,3.796,1.024,9.79
5.644,3.389,1.12,9.841
5.684,0.17,1.805,9.866
5.724,-0.104,1.017,9.806
5.765,-4.137,0.073,9.827
5.805,-1.873,-0.782,9.865
5.846,-1.352,0.345,9.861
5.886,0.215,1.398,9.867
5.926,-0.031,0.982,9.869
5.966,-1.322,0.98,9.881
6.007,0.559,0.482,9.807
6.047,5.376,-0.545,9.833
6.087,3.419,-1.024,9.853
6.128,2.951,0.198,9.782
6.168,-1.552,-0.748,9.78
6.208,-1.672,-0.843,9.752
6.249,-1.16,-1.191,9.731
6.289,-0.638,0.106,9.773
6.329,-1.585,0.159,9.753
6.37,-3.49,0.423,9.723
6.41,3.181,0.34,9.773
6.45,1.984,-0.331,9.781
6.491,2.056,-0.811,9.751
6.531,2.679,-0.095,9.74
6.572,4.01,0.685,9.725
6.612,0.669,1.236,9.729
6.652,-1.643,0.903,9.694
6.693,-1.379,-0.325,9.773
6.733,0.645,-0.191,9.748
6.773,3.647,0.703,9.759
6.814,1.396,0.615,9.714
6.854,0.864,2.634,9.732
6.894,-3.103,1.805,9.787
6.934,-6.463,1.507,9.779
6.974,-4.816,0.719,9.729
7.015,-3.503,0.512,9.779
7.055,-2.884,0.69,9.847
7.096,-2.27,1.362,9.86
7.136,-1.755,1.212,9.814
7.176,-0.32,1.459,9.796
7.217,0.149,1.115,9.837
7.257,-2.657,-0.103,9.794
7.298,-3.333,0.421,9.845
7.338,-3.852,-0.127,9.82
7.378,-7.99,0.637,9.806
7.419,-2.175,-0.208,9.818
7.459,0.222,0.296,9.876
7.499,0.826,0.567,9.929
7.54,2.634,1.259,10.002
7.58,4.781,0.188,9.968
7.62,7.056,1.36,9.879
7.661,-2.031,0.212,9.833
7.702,-3.002,-0.935,9.874
7.749,-3.676,0.063,9.875
7.794,2.108,0.997,9.812
7.834,3.035,0.66,9.809
7.874,1.598,1.165,9.829
7.915,-0.202,-0.44,9.882
7.955,3.584,0.641,9.908
7.995,0.056,0.603,9.832
8.036,0.899,0.142,9.796
8.076,0.084,-0.754,9.809
8.117,0.852,-0.727,9.839
8.157,-0.89,-0.892,9.877
8.197,-0.202,-0.048,9.922
8.238,0.96,-0.682,9.868
8.278,0.714,0.722,9.818
8.319,1.296,-0.663,9.796
8.359,1.581,0.053,9.717
8.399,-1.214,-0.159,9.737
8.44,1.934,-0.792,9.677
8.48,0.741,1.222,9.72
8.52,5.114,0.964,9.719
8.56,3.773,1.242,9.71
8.6,3.234,0.697,9.788
8.641,-0.332,0.554,9.765
8.681,2.771,-0.181,9.738
8.721,1.811,-0.743,9.795
8.761,5.034,0.581,9.818
8.801,7.003,-0.035,9.765
8.842,3.934,-0.637,9.828
8.882,-2.689,-1.86,9.86
8.922,-0.292,-0.994,9.836
8.963,0.985,-1.632,9.84
9.004,-1.026,0.052,9.786
9.044,-4.516,-0.117,9.802
9.085,-2.849,0.099,9.844
9.126,0.629,-0.526,9.87
9.166,2.748,0.307,9.81
9.206,4.764,-0.864,9.817
9.247,2.559,-3.131,9.884
9.287,5.411,-1.415,9.971
9.327,2.405,0.125,9.838
9.368,-2.801,0.723,9.815
9.408,-2.53,2.46,9.819
9.448,-0.86,1.234,9.896
9.488,0.462,-1.088,9.87
9.528,2.081,-1.754,9.834
9.569,-0.167,-0.479,9.734
9.609,-4.28,-0.489,9.8
9.649,4.261,-1.109,9.823
9.689,4.428,0.529,9.838
9.73,2.691,1.078,9.793
9.77,0.671,0.588,9.808
9.81,1.782,-0.036,9.807
9.851,-1.246,-0.109,9.855
9.891,3.389,-1.353,9.813
9.931,7.017,-1.61,9.849
9.972,3.781,-2.146,9.896
10.012,2.77,-0.646,9.945
10.053,-0.58,-2.27,9.901
10.093,2.393,-1.381,9.895
10.134,-1.435,0.093,9.754
10.174,-2.774,-0.45,9.771
10.214,-0.53,-0.548,9.737
10.254,0.455,0.514,9.817
10.295,3.375,0.675,9.801
10.335,-1.195,0.223,9.752
10.375,-4.769,-0.154,9.75
10.415,-3.538,0.573,9.823
10.456,-2.487,-0.893,9.819
10.496,-0.09,-1.351,9.771
10.536,3.441,-2.096,9.746
10.576,1.058,-1.417,9.663
10.617,-1.261,0.224,9.672
10.657,2.284,1.515,9.751
10.698,-1.092,1.321,9.792
10.738,-2.694,1.354,9.85
10.779,3.282,0.806,9.897
10.819,4.314,-0.222,9.875
10.86,2.057,0.562,9.869
10.9,-1.385,1.193,9.837
10.94,2.179,0.019,9.808
10.981,1.189,0.59,9.743
11.021,0.816,1.614,9.743
11.061,-4.054,3.442,9.82
11.102,-2.481,2.983,9.894
11.142,-1.328,0.427,9.859
11.182,5.037,-0.048,9.779
11.222,0.281,1.711,9.735
11.263,0.023,3.185,9.735
11.303,-0.589,3.212,9.712
11.343,-5.286,-0.043,9.693
11.384,-5.513,-1.161,9.707
11.424,-1.608,-1.227,9.691
11.464,4.046,-0.015,9.726
11.504,2.476,-0.157,9.722
11.545,3.054,-0.339,9.812
11.585,7.441,-1.018,9.822
11.625,4.055,0.05,9.845
11.666,5.134,-0.178,9.78
11.706,2.34,-0.518,9.786
11.746,3.727,0.313,9.885
11.787,2.55,1.317,9.876
11.827,-5.074,0.62,9.887
11.867,-1.632,-1.075,9.853
11.907,-3.894,-0.984,9.862
11.947,-1.863,-0.361,9.878
11.988,-2.771,-0.239,9.725
12.028,1.725,0.072,9.699
12.068,-1.469,-2.273,9.652
12.108,3.294,-1.371,9.612
12.149,3.298,-2.303,9.633
12.189,-6.718,-1.771,9.73
12.229,-4.541,-0.629,9.797
12.27,-0.729,2.124,9.829
12.31,-0.447,2.49,9.845
12.351,1.232,1.518,9.882
12.391,-2.033,2.549,9.85
12.431,-3.453,0.796,9.812
12.472,-0.709,0.742,9.805
12.513,3.905,0.67,9.837
12.553,6.179,1.349,9.763
12.593,1.967,1.295,9.704
12.634,-4.372,0.865,9.751
12.674,-7.572,0.668,9.766
12.714,-6.462,1.091,9.769
12.755,-3.527,1.155,9.832
12.795,-2.418,2.979,9.803
12.835,-0.333,1.962,9.741
12.875,-1.539,1.94,9.8
12.916,-3.309,0.946,9.929
12.956,-0.16,0.5,9.955
12.996,3.981,0.916,9.85
13.036,-4.43,-0.049,9.866
13.077,-5.38,-0.309,9.802
13.117,-2.842,-0.69,9.838
13.158,0.734,-3.404,9.8
13.198,-1.447,-3.808,9.784
13.239,0.303,-4.091,9.855
13.279,0.86,-3.556,9.891
13.32,0.039,-2.995,9.897
13.36,6.359,-2.045,9.831
13.4,6.41,-3.276,9.767
13.441,4.279,-0.935,9.805
13.481,1.653,-0.17,9.867
13.521,5.662,1.118,9.872
13.561,0.382,1.673,9.833
13.602,-7.417,0.926,9.894
13.642,-10.646,-0.179,9.923
13.682,-7.342,-0.854,9.921
13.722,0.567,-0.899,9.932
13.762,0.292,-0.547,9.923
13.803,0.822,0.704,9.828
13.843,-1.72,1.497,9.739
13.883,-1.819,2.067,9.788
13.924,2.703,1.506,9.794
13.964,5.564,0.79,9.725
14.004,2.648,0.647,9.729
14.045,7.972,-0.21,9.83
14.085,2.359,-0.411,9.88
14.126,-0.069,0.116,9.918
14.166,-3.853,0.972,9.872
14.206,-3.674,0.039,9.813
14.247,-3.653,-0.328,9.776
14.287,-0.665,-0.315,9.768
14.327,-3.652,0.299,9.703
14.368,-4.703,0.95,9.692
14.408,2.168,0.249,9.681
14.448,2.963,-1.264,9.656
14.488,-3.464,-2.02,9.799
14.529,-3.631,-1.23,9.735
14.569,-1.849,-0.866,9.707
14.609,-2.233,-0.546,9.779
14.649,-0.087,-4.275,9.754
14.69,-0.421,-3.422,9.769
14.73,-0.416,-1.891,9.778
14.77,1.299,-2.214,9.718
14.811,-4.218,-1.031,9.805
14.851,-0.835,0.443,9.855
14.892,1.225,-0.368,9.858
14.932,3.324,1.287,9.862
14.973,-0.611,2.067,9.827
15.013,0.293,2.628,9.769
15.054,-1.782,2.504,9.775
15.094,-3.053,2.625,9.766
15.135,-5.22,1.865,9.856
15.175,-5.81,2.014,9.809
15.215,-3.664,2.1,9.81
15.255,-0.995,1.235,9.835
15.296,-4.224,0.767,9.866
15.336,-2.789,-0.622,9.86
15.376,-5.172,-1.361,9.842
15.416,-5.829,-0.573,9.858
15.456,-3.282,-0.585,9.875
15.497,-7.401,-1.134,9.829
15.537,0.449,-2.906,9.817
15.577,-3.724,-2.458,9.812
15.617,-1.659,-0.799,9.792
15.658,1.597,0.498,9.759
15.698,-1.687,0.396,9.814
15.739,4.185,0.192,9.781
15.779,7.097,-1.218,9.758
15.819,-0.742,-0.098,9.757
15.859,-2.012,-0.095,9.799
15.9,-2.648,-0.674,9.738
15.94,-0.578,-0.59,9.764
15.98,2.186,1.647,9.779
16.02,0.826,-0.872,9.812
16.061,3.497,-0.394,9.777
16.101,1.056,-1.559,9.78
16.142,7.031,-2.011,9.882
16.182,1.307,-0.762,9.817
16.222,3.273,1.192,9.842
16.263,1.567,2.769,9.838
16.303,1.925,1.995,9.801
16.343,4.221,-0.481,9.838
16.383,7.672,-1.186,9.789
16.423,-3.146,0.246,9.795
16.464,-8.947,0.59,9.819
16.504,-3.673,0.985,9.903
16.544,-2.702,0.541,9.985
16.584,-2.499,0.782,9.902
16.625,0.318,-0.235,9.854
16.666,3.55,1.076,9.823
16.706,2.427,1.682,9.775
16.746,-2.005,1.113,9.805
16.787,1.93,0.36,9.866
16.827,2.31,0.585,9.801
