Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
13.181,3.461,-1.817,9.831
13.221,11.074,-2.24,9.858
13.262,0.722,-1.189,9.82
13.302,-7.091,2.746,9.803
13.344,1.474,1.804,9.731
13.384,6.916,2.283,9.742
13.424,3.659,2.61,9.767
13.464,4.248,2.219,9.735
13.505,2.465,1.989,9.768
13.545,3.867,0.752,9.696
13.585,6.412,-1.104,9.679
13.625,2.999,-0.238,9.695
13.666,1.334,-1.822,9.766
13.706,3.621,-0.172,9.865
13.746,1.143,-0.179,9.85
13.786,-2.158,-0.191,9.807
13.827,-2.661,-1.783,9.808
13.867,-2.155,-1.567,9.835
13.908,-0.808,-0.845,9.799
13.948,6.914,-0.001,9.804
13.988,1.265,-0.446,9.782
14.029,4.399,-0.757,9.698
14.069,2.317,-0.161,9.737
14.11,-2.712,1.019,9.769
14.15,-6.625,-0.47,9.749
14.19,-6.992,0.009,9.723
14.231,-8.294,-0.821,9.736
14.271,2.378,-1.251,9.708
14.311,5.679,-0.912,9.763
14.351,3.406,0.382,9.739
14.392,0.028,2.364,9.84
14.432,0.685,1.212,9.85
14.472,3.636,0.624,9.847
14.513,1.961,1.25,9.833
14.553,2.74,2.942,9.709
14.593,1.965,1.589,9.737
14.633,-1.989,0.091,9.778
14.674,-2.03,-0.733,9.751
14.714,-3.369,-0.734,9.742
14.754,-5.251,0.022,9.731
14.795,-2.481,0.167,9.743
14.835,1.57,1.373,9.784
14.876,0.104,0.23,9.806
14.917,1.728,1.33,9.801
14.957,-8.294,1.245,9.828
14.998,-3.125,-0.611,9.784
15.038,-2.921,-0.105,9.803
15.078,-3.166,1.251,9.801
15.119,4.526,1.874,9.758
15.159,2.706,1.298,9.738
15.199,5.363,1.59,9.736
15.24,0.989,1.079,9.788
15.281,0.927,0.605,9.765
15.321,2.805,-0.39,9.772
15.362,5.309,-0.285,9.797
15.402,-0.299,1.139,9.857
15.442,2.732,0.778,9.864
15.483,2.015,-0.775,9.797
15.523,1.087,-1.482,9.746
15.563,0.052,-0.868,9.752
15.604,1.514,-0.453,9.791
15.644,0.93,0.389,9.764
15.685,0.498,0.144,9.774
15.725,-0.206,0.54,9.774
15.765,-5.082,1.512,9.771
15.805,-1.182,0.908,9.775
15.846,5.192,1.244,9.846
15.887,0.798,-0.154,9.892
15.928,-5.827,-0.064,9.914
15.968,-2.894,-0.647,9.922
16.009,0.843,-0.044,9.824
16.049,-1.045,0.444,9.778
16.089,-3.621,1.505,9.768
16.13,-5.22,-0.258,9.812
16.17,-1.083,0.124,9.824
16.21,1.979,-0.999,9.825
16.25,3.0,1.191,9.775
16.291,-1.277,1.067,9.798
16.331,1.952,1.289,9.816
16.371,0.418,2.346,9.81
16.411,-1.189,3.717,9.841
16.452,6.682,3.996,9.867
16.492,3.533,1.105,9.768
16.533,2.786,0.858,9.765
16.573,2.461,-0.212,9.811
16.614,0.621,0.643,9.821
16.654,1.644,-0.542,9.769
16.694,3.489,-0.065,9.79
16.735,5.786,0.877,9.792
16.775,4.226,0.283,9.738
16.815,2.79,0.025,9.808
16.856,0.813,0.204,9.816
16.896,1.614,0.059,9.808
16.936,3.04,-1.395,9.773
16.977,-4.105,-1.641,9.832
17.017,0.423,0.716,9.818
17.057,2.923,-0.584,9.827
17.098,-2.475,-0.075,9.771
17.138,-3.424,-0.44,9.835
17.178,-5.292,-1.161,9.821
17.218,-2.964,0.815,9.852
17.259,2.693,0.953,9.827
17.299,-0.462,2.167,9.785
17.339,2.529,0.144,9.772
