Tiempo (s),Acc X (G),Acc Y (G),Acc Z (G)
7.873,2.052,-0.638,9.793
7.913,6.862,-1.227,9.801
7.954,9.075,-0.303,9.876
7.994,1.77,0.802,9.816
8.035,2.107,1.105,9.85
8.075,-5.349,-0.211,9.834
8.116,-4.066,-1.38,9.875
8.156,-3.075,-0.388,9.834
8.196,-0.904,1.215,9.921
8.237,0.142,-0.104,9.843
8.277,1.24,-0.927,9.867
8.317,-2.721,-0.032,9.833
8.358,-1.91,0.748,9.896
8.398,2.806,-0.386,9.822
8.438,5.688,-1.288,9.819
8.479,7.454,-0.88,9.801
8.519,0.527,-0.472,9.853
8.56,-1.107,0.201,9.795
8.6,-2.346,-0.401,9.906
8.641,-5.64,0.692,9.88
8.681,-5.966,0.508,9.799
8.722,-3.624,-0.212,9.801
8.762,-4.099,-2.999,9.819
8.802,-2.399,-1.413,9.899
8.843,-1.379,1.507,9.92
8.883,-3.044,2.292,9.928
8.924,3.823,1.728,9.87
8.964,2.765,0.106,9.903
9.004,6.652,-0.208,9.899
9.045,9.882,1.103,9.763
9.085,6.799,0.982,9.827
9.126,-0.199,-0.326,9.833
9.166,0.389,0.027,9.798
9.206,-0.497,0.099,9.759
9.247,-3.504,-0.788,9.816
9.287,-0.064,-1.562,9.866
9.327,-2.87,-0.349,9.971
9.368,-1.226,0.421,9.93
9.408,-6.175,1.557,9.88
9.448,-2.156,0.359,9.847
9.488,0.804,2.203,9.837
9.529,-5.496,0.636,9.844
9.569,-5.224,0.226,9.875
9.609,-1.56,1.278,9.843
9.65,2.426,0.68,9.805
9.69,0.416,1.022,9.823
9.731,-3.109,1.363,9.794
9.771,-1.269,-0.746,9.782
9.812,-0.274,1.066,9.818
9.852,1.07,0.195,9.853
9.892,-1.948,-0.556,9.83
9.933,-2.426,0.666,9.818
9.973,-0.781,1.253,9.813
10.013,0.614,0.986,9.831
10.054,7.38,0.786,9.775
10.095,5.323,2.283,9.779
10.135,2.48,1.388,9.767
10.175,5.694,0.53,9.835
10.216,0.653,1.611,9.81
10.256,-7.663,1.793,9.726
10.296,-5.901,1.81,9.73
10.336,-5.013,-0.677,9.667
10.377,-0.523,0.575,9.726
10.417,-2.385,0.548,9.767
10.457,-7.018,-1.485,9.771
10.498,-7.226,-2.521,9.721
10.538,-2.189,-1.89,9.722
10.579,-7.541,-1.801,9.721
10.619,-8.441,-1.883,9.751
10.659,-0.185,-1.814,9.725
10.7,-0.036,-1.101,9.727
10.74,1.467,-0.569,9.674
10.781,-1.303,-0.322,9.695
10.821,-3.377,0.649,9.742
10.862,-0.489,-1.352,9.749
10.902,0.211,-0.855,9.757
10.943,-3.342,-0.425,9.84
10.983,-2.491,-0.802,9.846
11.023,-2.831,0.765,9.869
11.063,-2.4,0.962,9.914
11.104,4.851,0.314,9.828
11.144,6.041,-0.355,9.769
11.184,1.539,0.022,9.753
11.225,-0.707,0.174,9.92
11.265,-2.418,0.523,9.826
11.305,-5.489,-0.436,9.766
11.346,-7.551,-0.26,9.787
11.386,-7.735,1.306,9.796
11.426,0.614,0.972,9.844
11.467,1.846,-0.169,9.805
11.507,0.362,-1.123,9.844
11.547,-1.394,0.046,9.835
11.587,-3.301,1.131,9.806
11.628,-1.471,1.521,9.844
11.668,-2.685,0.838,9.847
11.708,-4.886,0.468,9.785
11.748,1.84,-0.351,9.748
11.789,1.852,-1.531,9.761
11.829,2.259,-1.05,9.76
11.869,-3.531,0.466,9.803
11.91,0.16,-0.466,9.81
11.95,-4.428,-0.425,9.815
11.991,-4.226,-1.436,9.791
12.031,-6.976,-2.034,9.814
12.072,-3.0,-1.052,9.787
12.112,-4.073,-0.76,9.839
12.153,0.584,0.771,9.929
12.193,1.957,-0.013,9.847
12.233,8.434,0.337,9.828
12.273,8.16,1.471,9.853
12.314,2.921,1.481,9.837
12.354,3.801,2.157,9.82
12.395,4.601,0.779,9.836
12.435,7.64,0.286,9.86
12.475,2.942,1.182,9.935
12.516,-2.831,2.497,9.905
12.556,-3.181,1.764,9.855
12.596,1.291,1.329,9.82
12.637,1.172,1.79,9.8
12.677,-2.339,2.12,9.873
12.718,-8.807,1.555,9.844
12.758,-9.204,-0.57,9.745
12.798,-1.595,0.078,9.693
12.839,4.165,0.134,9.715
12.879,3.976,0.432,9.788
12.92,5.409,0.318,9.787
12.96,10.589,-0.714,9.739
13.001,9.35,-0.639,9.76
13.041,0.767,-0.672,9.74
13.082,-0.02,-0.466,9.821
13.122,-2.522,-0.602,9.764
13.163,1.695,-0.224,9.728
13.203,0.711,0.906,9.808
13.243,5.929,-0.298,9.834
13.284,5.899,0.854,9.832
13.324,5.521,0.504,9.833
13.364,10.725,0.461,9.775
13.405,8.072,2.203,9.744
13.445,-0.097,0.495,9.697
13.486,1.234,0.868,9.699
13.526,-0.197,0.07,9.683
13.566,10.296,-0.797,9.68
13.607,10.576,-1.019,9.676
13.647,7.36,0.067,9.662
13.688,5.979,-0.771,9.619
13.728,5.46,-2.063,9.578
13.768,3.425,0.025,9.625
13.809,1.336,-0.101,9.648
13.849,1.812,0.433,9.779
13.889,1.52,0.038,9.772
13.93,-3.703,-0.676,9.737
13.97,0.685,-1.11,9.729
14.011,1.847,-1.526,9.714
14.051,1.052,-2.677,9.734
14.091,2.629,-1.442,9.836
14.132,4.285,-0.791,9.921
14.172,7.306,-0.562,9.871
14.212,0.385,-1.231,9.768
14.253,-2.626,0.455,9.805
14.293,-4.275,0.5,9.744
14.334,-1.453,-1.326,9.655
14.374,-3.076,-2.188,9.657
14.414,1.383,-2.235,9.68
14.455,6.252,-0.901,9.822
14.495,7.784,0.468,9.815
14.536,4.587,0.574,9.823
14.576,2.829,0.225,9.813
14.616,-0.252,1.023,9.765
14.657,2.998,2.629,9.841
14.697,-0.924,1.36,9.786
14.738,-1.83,0.21,9.755
14.778,-6.127,-1.073,9.676
14.818,-3.565,-0.699,9.639
14.859,-6.157,-0.075,9.615
14.899,-0.966,-0.361,9.64
14.94,5.568,-1.23,9.653
14.98,1.326,-1.4,9.664
15.02,0.83,-2.184,9.733
15.06,1.226,0.491,9.737
15.101,-0.454,-0.05,9.685
15.141,1.155,-0.148,9.728
15.181,-3.622,-1.488,9.697
15.222,-3.871,-0.498,9.656
15.262,0.235,-0.501,9.723
15.302,-1.715,0.327,9.761
15.343,-1.933,-0.245,9.749
15.383,-1.109,0.127,9.76
15.423,-1.679,0.082,9.779
15.464,1.635,-0.107,9.813
15.504,2.712,-0.178,9.818
15.545,1.732,1.024,9.817
15.585,-0.458,1.978,9.895
15.626,-0.955,1.248,9.925
15.666,-4.387,1.855,9.911
15.706,2.358,0.427,9.833
15.747,2.932,-1.387,9.824
15.787,1.006,-0.857,9.827
15.827,-1.992,-0.344,9.785
15.868,-1.538,1.533,9.826
15.908,0.178,1.697,9.869
15.949,1.493,-0.512,9.869
15.989,-0.403,-0.18,9.752
16.03,2.106,1.522,9.721
16.07,3.074,0.806,9.704
16.111,0.646,-0.873,9.738
16.151,-3.239,-1.374,9.764
16.191,0.154,-1.6,9.782
16.232,-1.334,-2.248,9.829
16.272,-1.698,-3.116,9.771
16.312,0.545,-1.296,9.752
16.352,-5.781,1.013,9.736
16.393,-3.998,0.534,9.76
16.433,-0.048,1.034,9.754
16.473,-0.307,0.884,9.765
16.513,5.364,-0.343,9.824
16.554,-1.873,-1.841,9.838
16.594,-3.426,-1.053,9.808
16.635,-4.927,-0.293,9.864
16.675,-1.956,-0.855,9.839
16.715,-1.173,-0.583,9.89
16.756,6.111,-0.536,9.858
16.796,7.072,1.788,9.914
16.836,1.459,-0.132,9.846
16.876,-0.335,-0.588,9.753
16.917,-0.224,-0.501,9.77
16.957,2.81,-0.032,9.752
16.997,0.343,-0.237,9.72
17.038,-5.75,-0.47,9.713
17.078,-4.99,1.252,9.809
17.118,-3.364,1.491,9.807
17.158,2.479,0.865,9.752
17.199,6.009,0.944,9.823
17.239,9.425,1.609,9.829
17.28,8.285,2.341,9.695
17.32,8.409,2.514,9.721
17.36,6.78,0.673,9.751
17.401,3.586,-0.296,9.739
17.441,2.114,-0.521,9.681
17.481,-0.232,-0.957,9.77
17.522,3.168,-0.078,9.796
17.562,-0.754,0.328,9.81
17.603,-0.568,0.164,9.816
17.643,-0.373,-0.806,9.802
17.684,1.419,-0.083,9.779
17.724,8.79,0.533,9.787
17.764,0.93,0.097,9.781
17.805,-0.411,-0.28,9.822
17.845,3.719,1.174,9.91
17.886,2.02,2.04,9.947
17.926,5.068,1.062,9.957
17.966,9.171,0.986,9.92
18.006,10.676,1.344,9.934
18.047,7.549,1.641,9.955
18.087,-0.206,1.179,9.947
18.127,-4.805,0.719,9.928
18.168,-0.418,0.439,9.885
18.208,-3.562,0.801,9.879
18.248,0.05,0.33,9.874
18.289,-4.165,-0.572,9.892
18.329,-3.851,-1.633,9.842
18.369,-2.755,-2.604,9.787
18.41,3.309,-1.526,9.795
18.45,-1.442,-0.07,9.734
18.49,-1.539,-0.092,9.759
18.531,-2.813,0.831,9.829
18.571,1.67,1.058,9.763
18.612,7.726,0.897,9.767
18.652,-1.132,-0.397,9.784
18.692,-3.172,-0.416,9.768
18.733,-2.973,-0.089,9.807
18.773,-3.836,0.46,9.8
18.813,-1.996,0.12,9.856
18.854,2.11,1.443,9.777
18.894,0.995,1.744,9.676
18.935,1.909,0.473,9.719
18.975,1.546,0.641,9.762
19.015,2.905,0.623,9.734
19.056,1.849,0.887,9.739
19.096,-2.102,1.389,9.73
19.137,-5.331,0.723,9.728
19.177,-3.391,-0.599,9.797
19.217,-4.919,-0.374,9.818
19.258,1.977,1.149,9.795
19.298,5.002,1.324,9.804
19.338,4.441,0.75,9.825
19.379,0.149,-0.828,9.814
19.419,3.935,-0.794,9.811
19.459,5.484,0.329,9.759
19.5,3.624,2.159,9.733
19.54,4.422,1.506,9.653
19.58,-2.953,0.131,9.671
19.621,3.148,-0.565,9.67
19.661,3.99,-0.296,9.676
19.702,1.153,-0.61,9.71
19.742,0.436,0.019,9.728
19.782,-0.876,1.174,9.781
19.823,-5.176,1.216,9.744
19.863,-3.723,1.378,9.767
19.903,-1.4,1.004,9.833
19.943,-2.17,0.848,9.809
19.984,-1.034,0.786,9.793
20.024,2.273,1.372,9.82
20.064,-1.19,0.324,9.785
20.105,-1.067,-1.094,9.792
20.145,-2.379,-0.024,9.753
20.186,-0.015,1.05,9.732
20.226,4.299,2.082,9.721
20.266,3.146,1.342,9.794
20.307,-0.228,1.014,9.776
20.347,0.963,0.219,9.852
20.387,-0.591,1.483,9.864
20.428,-3.466,2.251,9.875
20.468,-4.435,1.227,9.863
20.508,-2.282,0.408,9.832
20.548,-2.563,-1.858,9.832
20.589,-3.08,-2.304,9.86
20.629,-2.959,-1.121,9.907
20.67,-1.829,-1.301,9.914
20.71,1.728,-0.571,9.869
20.75,5.386,0.419,9.896
20.79,6.208,-0.057,9.886
20.831,7.594,-0.725,9.862
20.871,9.926,0.376,9.853
20.912,3.981,1.042,9.795
20.952,1.076,1.095,9.834
20.992,2.254,1.461,9.79
21.033,1.266,1.189,9.749
21.073,-2.81,1.217,9.768
21.114,-0.67,1.115,9.785
21.154,-4.5,1.052,9.83
21.194,-6.851,1.361,9.824
21.234,-6.763,0.927,9.822
21.275,-7.572,1.311,9.785
21.315,-5.514,1.025,9.828
21.355,-2.846,0.678,9.808
21.396,-0.931,0.787,9.845
21.436,1.853,0.257,9.855
21.476,0.652,0.161,9.836
21.517,-1.656,0.886,9.87
21.557,-1.028,-0.209,9.832
21.598,-1.201,0.38,9.841
21.638,3.641,1.098,9.821
21.679,0.198,1.845,9.849
21.719,-1.319,2.276,9.816
21.759,-1.044,1.162,9.791
21.8,-4.62,0.056,9.837
21.84,-3.398,0.402,9.834
21.88,-1.742,0.531,9.806
21.921,1.117,0.464,9.786
21.961,-1.583,-0.651,9.77
22.001,-3.089,-0.117,9.743
22.041,-0.377,-0.191,9.738
22.082,-2.023,-0.435,9.741
22.122,-4.539,-0.477,9.711
22.162,-2.676,-0.157,9.75
22.203,-4.105,-0.799,9.805
22.243,-4.503,-0.919,9.833
22.283,-1.988,-0.536,9.869
22.324,-0.777,0.28,9.879
22.364,1.39,0.552,9.835
22.404,3.276,0.595,9.817
22.444,4.091,0.867,9.877
22.485,1.069,1.356,9.866
22.526,-0.435,0.529,9.852
22.566,-4.696,-0.513,9.823
22.606,-1.383,-0.255,9.81
22.647,-1.377,-0.379,9.807
22.687,1.095,0.182,9.789
22.728,2.549,-0.022,9.812
22.768,1.815,0.087,9.823
22.808,3.732,-0.987,9.807
22.849,4.533,-0.746,9.842
22.889,3.74,-0.387,9.822
22.93,3.54,-0.574,9.845
22.97,4.1,-0.431,9.816
23.01,0.036,-1.424,9.788
23.051,0.936,-0.466,9.795
23.091,1.632,-0.421,9.841
23.131,1.105,-0.379,9.804
23.172,2.698,0.6,9.816
23.212,0.755,0.264,9.832
23.252,-0.521,0.483,9.857
23.293,-3.529,-0.082,9.857
23.333,-4.989,0.067,9.888
23.373,-1.787,-0.56,9.845
23.414,-2.741,-0.197,9.831
23.454,0.537,-0.465,9.79
23.494,3.578,0.354,9.746
23.535,3.933,0.345,9.773
23.575,2.157,0.545,9.766
23.616,1.006,0.947,9.788
23.656,0.404,0.835,9.778
23.697,-2.071,-0.086,9.781
23.737,-0.927,1.512,9.772
23.778,-2.77,1.103,9.77
23.818,-1.907,0.659,9.772
23.858,-0.764,1.08,9.753
23.899,-1.285,1.759,9.696
23.939,-5.175,1.271,9.728
23.979,-3.727,0.637,9.73
24.02,-1.695,0.518,9.709
24.06,1.083,1.117,9.77
24.101,0.071,1.242,9.762
24.141,-1.555,1.198,9.751
24.181,3.025,2.088,9.753
24.222,3.696,1.449,9.78
24.262,2.227,0.64,9.773
24.302,2.875,0.664,9.807
24.343,0.321,1.376,9.844
24.383,-1.164,0.635,9.812
24.423,-2.509,0.579,9.798
24.464,-0.328,0.117,9.771
24.504,-0.666,0.039,9.775
24.545,-1.628,-1.069,9.754
24.585,-2.388,-0.707,9.789
24.625,-1.532,-0.426,9.802
24.666,-1.076,-0.183,9.83
24.706,-5.326,-0.566,9.812
24.747,-3.718,-0.878,9.822
24.787,-0.523,-0.677,9.812
24.827,0.844,0.131,9.799
24.868,-1.943,0.013,9.781
24.908,0.241,0.254,9.792
24.949,-0.54,0.356,9.809
24.989,2.582,-0.437,9.829
25.029,4.603,-0.559,9.845
25.07,3.44,0.294,9.855
25.11,0.123,0.463,9.859
25.15,0.277,-0.051,9.834
25.191,1.838,0.522,9.826
25.231,2.6,0.208,9.841
25.271,1.954,-0.39,9.833
25.312,3.638,-0.391,9.811
25.352,2.56,-0.33,9.831
25.392,2.594,0.546,9.822
25.433,0.659,0.753,9.84
25.473,0.191,-0.074,9.81
25.513,-0.21,0.639,9.801
25.554,0.876,0.22,9.807
25.594,-1.602,-0.778,9.812
25.635,0.277,-0.544,9.824
25.675,-0.638,0.154,9.786
25.716,-0.438,-0.373,9.764
25.756,-2.067,-0.468,9.781
25.796,0.608,-0.178,9.812
25.837,-0.081,-0.344,9.801
25.877,-1.372,-0.157,9.793
25.918,-3.622,-0.234,9.779
25.958,-4.565,-0.575,9.782
25.998,-5.003,-0.02,9.796
26.039,-1.199,0.779,9.804
26.079,-4.405,1.069,9.816
26.119,-5.091,0.342,9.811
26.159,1.316,0.457,9.825
26.2,1.425,0.134,9.83
26.24,1.935,0.133,9.837
26.28,0.326,0.479,9.84
26.321,0.251,0.709,9.834
26.361,1.965,-0.189,9.823
26.402,2.895,-0.591,9.819
26.442,0.868,-0.787,9.841
26.482,-0.535,-0.014,9.816
26.523,0.897,-0.384,9.815
26.563,1.657,-0.816,9.801
26.604,-0.305,-0.322,9.8
26.644,-0.787,-0.006,9.802
26.685,-2.471,0.432,9.803
26.725,-2.511,0.324,9.783
26.765,-1.739,0.309,9.734
26.805,-2.375,0.491,9.752
26.846,-0.913,-0.085,9.802
26.886,-1.821,-0.012,9.784
26.926,-1.925,0.301,9.768
26.967,0.334,0.471,9.732
27.007,0.857,0.989,9.767
27.047,2.241,0.733,9.802
27.088,3.237,0.451,9.813
27.128,1.688,0.498,9.8
27.169,1.369,0.647,9.831
27.209,0.899,-0.281,9.822
27.25,-1.218,-0.73,9.825
27.29,0.016,-0.35,9.823
27.33,2.675,-0.198,9.813
27.371,1.679,0.085,9.826
27.411,0.774,0.527,9.853
27.451,-1.669,-0.266,9.82
27.492,2.953,-0.227,9.843
27.533,3.803,0.295,9.829
27.573,-1.19,0.044,9.788
27.613,0.548,0.616,9.792
27.654,3.491,0.531,9.796
27.694,1.194,0.548,9.763
27.735,-0.364,0.664,9.792
27.775,-0.46,0.776,9.791
27.816,-0.133,1.346,9.797
27.856,-1.144,1.566,9.81
27.897,-0.015,1.309,9.814
27.937,0.743,0.716,9.816
27.977,0.335,0.126,9.783
28.018,-1.045,0.363,9.772
28.058,0.113,0.071,9.785
28.098,1.822,0.338,9.801
28.139,1.751,0.792,9.783
28.179,2.492,0.67,9.776
28.219,1.015,0.523,9.793
28.26,0.012,-0.406,9.838
28.3,-0.085,0.032,9.826
28.34,0.042,0.321,9.833
28.381,0.989,-0.451,9.806
28.421,2.851,0.12,9.799
28.461,-0.966,-0.232,9.807
28.501,1.548,-0.235,9.83
28.542,1.484,-0.515,9.83
28.582,2.786,-0.117,9.828
28.622,1.983,-0.409,9.812
28.664,-0.443,-0.182,9.833
28.704,-0.047,0.236,9.834
28.744,0.55,0.509,9.844
28.785,0.283,0.261,9.818
28.825,-1.041,0.495,9.796
28.865,1.065,1.298,9.803
28.906,1.47,0.992,9.789
28.946,1.333,0.692,9.815
28.986,0.106,0.229,9.816
29.026,3.375,-0.253,9.843
29.067,2.552,-0.299,9.822
29.107,1.201,-0.578,9.806
29.147,-0.11,0.01,9.82
29.187,0.834,0.143,9.82
29.228,1.397,-0.008,9.802
29.268,1.609,-0.033,9.785
29.308,0.476,0.231,9.786
29.349,-0.844,-0.356,9.807
29.389,-1.267,-0.275,9.819
29.429,-1.881,-0.027,9.842
29.47,0.912,0.278,9.832
29.51,0.882,0.317,9.816
29.55,-2.073,0.452,9.825
29.591,-2.207,0.597,9.821
29.631,-2.991,0.195,9.823
29.672,-0.263,-0.122,9.815
29.712,1.542,-0.187,9.816
29.752,-0.052,-0.097,9.802
29.792,-1.846,-0.314,9.818
29.833,-1.341,-0.374,9.79
29.873,0.422,-0.199,9.786
29.913,-0.758,-0.225,9.812
29.954,-0.457,-0.032,9.781
29.994,-0.598,0.299,9.784
30.035,-0.91,-0.172,9.813
